ID,pred,ID,target,Aux_ID,Aux_pred,Equipo
AF200828_8573373,Drosophila_melanogaster,AF200828_8573373,Drosophila_melanogaster,TRUE,TRUE,ForeverAlone
AF200829_8573387,Drosophila_melanogaster,AF200829_8573387,Drosophila_melanogaster,TRUE,TRUE,ForeverAlone
AF200839_8573527,Drosophila_simulans,AF200839_8573527,Drosophila_simulans,TRUE,TRUE,ForeverAlone
AF200842_8573569,Drosophila_simulans,AF200842_8573569,Drosophila_simulans,TRUE,TRUE,ForeverAlone
AF200846_8573625,Drosophila_simulans,AF200846_8573625,Drosophila_simulans,TRUE,TRUE,ForeverAlone
AY154408_25989948,Drosophila_subquinaria,AY154408_25989948,Drosophila_subquinaria,TRUE,TRUE,ForeverAlone
AY154413_25989958,Drosophila_subquinaria,AY154413_25989958,Drosophila_subquinaria,TRUE,TRUE,ForeverAlone
AY154414_25989960,Drosophila_subquinaria,AY154414_25989960,Drosophila_subquinaria,TRUE,TRUE,ForeverAlone
AY154417_25989966,Drosophila_subquinaria,AY154417_25989966,Drosophila_subquinaria,TRUE,TRUE,ForeverAlone
AY154424_25989980,Drosophila_subquinaria,AY154424_25989980,Drosophila_subquinaria,TRUE,TRUE,ForeverAlone
AY154427_25989986,Drosophila_recens,AY154427_25989986,Drosophila_recens,TRUE,TRUE,ForeverAlone
AY154430_25989992,Drosophila_recens,AY154430_25989992,Drosophila_recens,TRUE,TRUE,ForeverAlone
AY154437_25990006,Drosophila_recens,AY154437_25990006,Drosophila_recens,TRUE,TRUE,ForeverAlone
AY154438_25990008,Drosophila_recens,AY154438_25990008,Drosophila_recens,TRUE,TRUE,ForeverAlone
AY154439_25990010,Drosophila_recens,AY154439_25990010,Drosophila_recens,TRUE,TRUE,ForeverAlone
AY154448_25990028,Drosophila_recens,AY154448_25990028,Drosophila_recens,TRUE,TRUE,ForeverAlone
AY154450_25990032,Drosophila_recens,AY154450_25990032,Drosophila_recens,TRUE,TRUE,ForeverAlone
AY154451_25990034,Drosophila_recens,AY154451_25990034,Drosophila_recens,TRUE,TRUE,ForeverAlone
AY154453_25990038,Drosophila_recens,AY154453_25990038,Drosophila_recens,TRUE,TRUE,ForeverAlone
AY154457_25990046,Drosophila_recens,AY154457_25990046,Drosophila_subquinaria,TRUE,FALSE,ForeverAlone
AY518670_40795358,Drosophila_simulans,AY518670_40795358,Drosophila_simulans,TRUE,TRUE,ForeverAlone
AY518673_40795400,Drosophila_simulans,AY518673_40795400,Drosophila_simulans,TRUE,TRUE,ForeverAlone
AY533717_42601537,Drosophila_pachea,AY533717_42601537,Drosophila_pachea,TRUE,TRUE,ForeverAlone
AY533718_42601539,Drosophila_pachea,AY533718_42601539,Drosophila_pachea,TRUE,TRUE,ForeverAlone
AY533719_42601541,Drosophila_pachea,AY533719_42601541,Drosophila_pachea,TRUE,TRUE,ForeverAlone
AY533721_42601545,Drosophila_pachea,AY533721_42601545,Drosophila_pachea,TRUE,TRUE,ForeverAlone
AY533729_42601561,Drosophila_pachea,AY533729_42601561,Drosophila_pachea,TRUE,TRUE,ForeverAlone
AY533734_42601571,Drosophila_pachea,AY533734_42601571,Drosophila_pachea,TRUE,TRUE,ForeverAlone
AY533738_42601579,Drosophila_pachea,AY533738_42601579,Drosophila_pachea,TRUE,TRUE,ForeverAlone
AY533745_42601593,Drosophila_pachea,AY533745_42601593,Drosophila_pachea,TRUE,TRUE,ForeverAlone
AY533759_42601621,Drosophila_pachea,AY533759_42601621,Drosophila_pachea,TRUE,TRUE,ForeverAlone
AY533763_42601629,Drosophila_pachea,AY533763_42601629,Drosophila_pachea,TRUE,TRUE,ForeverAlone
AY533768_42601639,Drosophila_pachea,AY533768_42601639,Drosophila_pachea,TRUE,TRUE,ForeverAlone
AY533771_42601645,Drosophila_pachea,AY533771_42601645,Drosophila_pachea,TRUE,TRUE,ForeverAlone
AY533773_42601649,Drosophila_pachea,AY533773_42601649,Drosophila_pachea,TRUE,TRUE,ForeverAlone
AY533777_42601657,Drosophila_pachea,AY533777_42601657,Drosophila_pachea,TRUE,TRUE,ForeverAlone
AY533784_42601671,Drosophila_pachea,AY533784_42601671,Drosophila_pachea,TRUE,TRUE,ForeverAlone
AY533786_42601675,Drosophila_pachea,AY533786_42601675,Drosophila_pachea,TRUE,TRUE,ForeverAlone
AY533790_42601683,Drosophila_mettleri,AY533790_42601683,Drosophila_mettleri,TRUE,TRUE,ForeverAlone
AY533793_42601689,Drosophila_mettleri,AY533793_42601689,Drosophila_mettleri,TRUE,TRUE,ForeverAlone
AY533797_42601697,Drosophila_mettleri,AY533797_42601697,Drosophila_mettleri,TRUE,TRUE,ForeverAlone
AY533802_42601707,Drosophila_mettleri,AY533802_42601707,Drosophila_mettleri,TRUE,TRUE,ForeverAlone
AY533809_42601721,Drosophila_mettleri,AY533809_42601721,Drosophila_mettleri,TRUE,TRUE,ForeverAlone
AY533814_42601733,Drosophila_nigrospiracula,AY533814_42601733,Drosophila_nigrospiracula,TRUE,TRUE,ForeverAlone
AY533821_42601747,Drosophila_nigrospiracula,AY533821_42601747,Drosophila_nigrospiracula,TRUE,TRUE,ForeverAlone
AY541130_46948560,Drosophila_falleni,AY541130_46948560,Drosophila_falleni,TRUE,TRUE,ForeverAlone
AY541133_46948566,Drosophila_falleni,AY541133_46948566,Drosophila_falleni,TRUE,TRUE,ForeverAlone
AY541135_46948570,Drosophila_falleni,AY541135_46948570,Drosophila_falleni,TRUE,TRUE,ForeverAlone
AY541182_46948664,Drosophila_innubila,AY541182_46948664,Drosophila_innubila,TRUE,TRUE,ForeverAlone
AY541184_46948668,Drosophila_innubila,AY541184_46948668,Drosophila_innubila,TRUE,TRUE,ForeverAlone
AY541193_46948686,Drosophila_innubila,AY541193_46948686,Drosophila_innubila,TRUE,TRUE,ForeverAlone
AY541209_46948718,Drosophila_innubila,AY541209_46948718,Drosophila_innubila,TRUE,TRUE,ForeverAlone
DQ383671_87475141,Drosophila_arizonae,DQ383671_87475141,Drosophila_arizonae,TRUE,TRUE,ForeverAlone
DQ383677_87475153,Drosophila_arizonae,DQ383677_87475153,Drosophila_arizonae,TRUE,TRUE,ForeverAlone
DQ383678_87475155,Drosophila_arizonae,DQ383678_87475155,Drosophila_arizonae,TRUE,TRUE,ForeverAlone
DQ383686_87475193,Drosophila_mojavensis,DQ383686_87475193,Drosophila_mojavensis,TRUE,TRUE,ForeverAlone
DQ383704_87475229,Drosophila_mojavensis,DQ383704_87475229,Drosophila_mojavensis,TRUE,TRUE,ForeverAlone
DQ383712_87475245,Drosophila_mojavensis,DQ383712_87475245,Drosophila_mojavensis,TRUE,TRUE,ForeverAlone
DQ383717_87475255,Drosophila_mojavensis,DQ383717_87475255,Drosophila_mojavensis,TRUE,TRUE,ForeverAlone
DQ383720_87475261,Drosophila_mojavensis,DQ383720_87475261,Drosophila_mojavensis,TRUE,TRUE,ForeverAlone
DQ383723_87475267,Drosophila_mojavensis,DQ383723_87475267,Drosophila_mojavensis,TRUE,TRUE,ForeverAlone
DQ383726_87475273,Drosophila_mojavensis,DQ383726_87475273,Drosophila_mojavensis,TRUE,TRUE,ForeverAlone
DQ383727_87475275,Drosophila_mojavensis,DQ383727_87475275,Drosophila_mojavensis,TRUE,TRUE,ForeverAlone
DQ383728_87475277,Drosophila_mojavensis,DQ383728_87475277,Drosophila_mojavensis,TRUE,TRUE,ForeverAlone
DQ426717_90018813,Drosophila_montana,DQ426717_90018813,Drosophila_montana,TRUE,TRUE,ForeverAlone
